Sparse Matrix (rows:3850 & cols:3969):
1, 937, 717
0, 1485, -857
0, 301, -708
1, 912, -632
0, 1045, -558
0, 639, -819
0, 1365, -763
0, 3903, 799
0, 1160, -1012
1, 795, 878
0, 150, -700
0, 400, -121
0, 1965, -538
1, 956, 143
0, 3478, -350
0, 430, 354
0, 976, -634
1, 1218, -765
0, 1766, -777
0, 1424, -1675
0, 3224, -681
1, 1916, -922
0, 3367, 244
1, 964, -761
1, 1092, -584
0, 2128, -919
1, 390, -648
0, 1057, 263
1, 1827, 124
1, 1836, 186
0, 602, -600
0, 3793, -768
0, 2112, -747
0, 681, 384
0, 1306, -608
0, 1425, 24
0, 891, 433
0, 595, -133
0, 1034, -514
0, 619, 830
1, 385, -143
